Area,Year,Value_Tonnes
Czechia,2015,155361
Czechia,2016,124997
Czechia,2017,105280
Czechia,2018,151530
Czechia,2019,99500
Czechia,2020,115590
Democratic People's Republic of Korea,2010,712312
Democratic People's Republic of Korea,2011,752300
Democratic People's Republic of Korea,2012,785000
Democratic People's Republic of Korea,2013,780000
Democratic People's Republic of Korea,2014,777126
Democratic People's Republic of Korea,2015,776710
Democratic People's Republic of Korea,2016,783182
Democratic People's Republic of Korea,2017,804051
Democratic People's Republic of Korea,2018,816569
Democratic People's Republic of Korea,2019,801267
Democratic People's Republic of Korea,2020,807295
Denmark,2010,24190
Denmark,2011,25735
Denmark,2012,18731
Denmark,2013,31184
Denmark,2014,35371
Denmark,2015,35647
Denmark,2016,36470
Denmark,2017,20496
Denmark,2018,32650
Denmark,2019,25210
Denmark,2020,40020
Ecuador,2010,9073
Ecuador,2011,9187
Ecuador,2012,9129
Ecuador,2013,8685
Ecuador,2014,7406
Ecuador,2015,6726
Ecuador,2016,7605
Ecuador,2017,7245
Ecuador,2018,7192
Ecuador,2019,7348
Ecuador,2020,7262
Egypt,2010,493119
Egypt,2011,455817
Egypt,2012,541239
Egypt,2013,629613
Egypt,2014,623625
Egypt,2015,695769
Egypt,2016,754846
Egypt,2017,716271
Egypt,2018,716148
Egypt,2019,701435
Egypt,2020,697936
El Salvador,2010,23000
El Salvador,2011,32000
El Salvador,2012,34000
El Salvador,2013,36539
El Salvador,2014,39496
El Salvador,2015,47273
El Salvador,2016,41103
El Salvador,2017,42624
El Salvador,2018,43667
El Salvador,2019,42464
El Salvador,2020,42918
Estonia,2010,1983
Estonia,2011,2702
Estonia,2012,1855
Estonia,2013,4411
Estonia,2014,2307
Estonia,2015,2700
Estonia,2016,5497
Estonia,2017,3648
Estonia,2018,1640
Estonia,2019,1850
Estonia,2020,1260
Finland,2010,4262
Finland,2011,5249
Finland,2012,4807
Finland,2013,4905
Finland,2014,5211
Finland,2015,6027
Finland,2016,6401
Finland,2017,6758
Finland,2018,7200
Finland,2019,8090
Finland,2020,7170
France,2010,1751269
France,2011,1762640
France,2012,1306333
France,2013,1688158
France,2014,1847551
France,2015,1968628
France,2016,1823123
France,2017,1695949
France,2018,1740350
France,2019,1753500
France,2020,1619880
Georgia,2010,21100
Georgia,2011,64300
Georgia,2012,45000
Georgia,2013,68600
Georgia,2014,82300
