Area,Latitude,Longitude,Year,Value_Tonnes
Spain,40,-4,2013,546400
Spain,40,-4,2014,620823
Spain,40,-4,2015,593592
Spain,40,-4,2016,621164
Spain,40,-4,2017,587034
Spain,40,-4,2018,562960
Spain,40,-4,2019,638840
Spain,40,-4,2020,522100
Sweden,62,15,2010,23500
Sweden,62,15,2011,20684
Sweden,62,15,2012,23390
Sweden,62,15,2013,27400
Sweden,62,15,2014,24580
Sweden,62,15,2015,25350
Sweden,62,15,2016,26280
Sweden,62,15,2017,22130
Sweden,62,15,2018,30610
Sweden,62,15,2019,22210
Sweden,62,15,2020,29360
Switzerland,47,8,2010,201641
Switzerland,47,8,2011,327500
Switzerland,47,8,2012,233556
Switzerland,47,8,2013,210129
Switzerland,47,8,2014,231343
Switzerland,47,8,2015,214250
Switzerland,47,8,2016,227300
Switzerland,47,8,2017,145864
Switzerland,47,8,2018,296778
Switzerland,47,8,2019,191435
Switzerland,47,8,2020,192443
Syrian Arab Republic,35,38,2010,393146
Syrian Arab Republic,35,38,2011,307760
Syrian Arab Republic,35,38,2012,349166
Syrian Arab Republic,35,38,2013,256614
Syrian Arab Republic,35,38,2014,397858
Syrian Arab Republic,35,38,2015,307031
Syrian Arab Republic,35,38,2016,451585
Syrian Arab Republic,35,38,2017,308985
Syrian Arab Republic,35,38,2018,476635
Syrian Arab Republic,35,38,2019,286564
Syrian Arab Republic,35,38,2020,267823
Tajikistan,39,71,2010,156000
Tajikistan,39,71,2011,183300
Tajikistan,39,71,2012,218300
Tajikistan,39,71,2013,227000
Tajikistan,39,71,2014,236000
Tajikistan,39,71,2015,230387
Tajikistan,39,71,2016,230647
Tajikistan,39,71,2017,234039
Tajikistan,39,71,2018,238837
Tajikistan,39,71,2019,234508
Tajikistan,39,71,2020,235795
Tunisia,34,9,2010,126000
Tunisia,34,9,2011,128000
Tunisia,34,9,2012,111000
Tunisia,34,9,2013,120000
Tunisia,34,9,2014,121500
Tunisia,34,9,2015,90000
Tunisia,34,9,2016,126000
Tunisia,34,9,2017,98300
Tunisia,34,9,2018,140000
Tunisia,34,9,2019,116000
Tunisia,34,9,2020,153000
Turkey,39,35,2010,2600000
Turkey,39,35,2011,2680075
Turkey,39,35,2012,2888985
Turkey,39,35,2013,3128450
Turkey,39,35,2014,2480444
Turkey,39,35,2015,2569759
Turkey,39,35,2016,2925828
Turkey,39,35,2017,3032164
Turkey,39,35,2018,3625960
Turkey,39,35,2019,3618752
Turkey,39,35,2020,4300486
Turkmenistan,40,60,2010,63000
Turkmenistan,40,60,2011,62800
Turkmenistan,40,60,2012,63300
Turkmenistan,40,60,2013,63200
Turkmenistan,40,60,2014,63100
Turkmenistan,40,60,2015,63200
Turkmenistan,40,60,2016,63200
Turkmenistan,40,60,2017,63200
Turkmenistan,40,60,2018,64018
Turkmenistan,40,60,2019,66380
Turkmenistan,40,60,2020,66257
Ukraine,49,32,2010,897000
Ukraine,49,32,2011,954100
Ukraine,49,32,2012,1126800
Ukraine,49,32,2013,1211400
Ukraine,49,32,2014,1085350
Ukraine,49,32,2015,1179570
Ukraine,49,32,2016,1099240
Ukraine,49,32,2017,1076180
Ukraine,49,32,2018,1462360
Ukraine,49,32,2019,1153970
Ukraine,49,32,2020,1114570
United Kingdom of Great Britain and Northern Ireland,54,-2,2010,235450
United Kingdom of Great Britain and Northern Ireland,54,-2,2011,239890
United Kingdom of Great Britain and Northern Ireland,54,-2,2012,203550
United Kingdom of Great Britain and Northern Ireland,54,-2,2013,398500
United Kingdom of Great Britain and Northern Ireland,54,-2,2014,451400
United Kingdom of Great Britain and Northern Ireland,54,-2,2015,459600
United Kingdom of Great Britain and Northern Ireland,54,-2,2016,481100
United Kingdom of Great Britain and Northern Ireland,54,-2,2017,535300
United Kingdom of Great Britain and Northern Ireland,54,-2,2018,548721
United Kingdom of Great Britain and Northern Ireland,54,-2,2019,609180
United Kingdom of Great Britain and Northern Ireland,54,-2,2020,523331
United States of America,38,-97,2010,4210290
United States of America,38,-97,2011,4281731
United States of America,38,-97,2012,4078839
United States of America,38,-97,2013,4731694
United States of America,38,-97,2014,5358740
United States of America,38,-97,2015,4556790
United States of America,38,-97,2016,5214040
United States of America,38,-97,2017,5240670
United States of America,38,-97,2018,4644790
United States of America,38,-97,2019,5028526
United States of America,38,-97,2020,4650684
Uruguay,-33,-56,2010,52226
Uruguay,-33,-56,2011,73368
Uruguay,-33,-56,2012,50270
Uruguay,-33,-56,2013,45626
Uruguay,-33,-56,2014,52762
Uruguay,-33,-56,2015,55454
Uruguay,-33,-56,2016,37675
Uruguay,-33,-56,2017,45742
Uruguay,-33,-56,2018,45881
Uruguay,-33,-56,2019,42322
Uruguay,-33,-56,2020,37039
Uzbekistan,41,64,2010,712000
Uzbekistan,41,64,2011,769363
Uzbekistan,41,64,2012,829000
Uzbekistan,41,64,2013,894000
Uzbekistan,41,64,2014,965000
Uzbekistan,41,64,2015,1060000
Uzbekistan,41,64,2016,1441566
Uzbekistan,41,64,2017,1028796
Uzbekistan,41,64,2018,1130335
Uzbekistan,41,64,2019,1124017
Uzbekistan,41,64,2020,1148455
Yemen,15,48,2010,20246
Yemen,15,48,2011,20278
Yemen,15,48,2012,20348
Yemen,15,48,2013,20072
Yemen,15,48,2014,20098
Yemen,15,48,2015,17686
Yemen,15,48,2016,17362
Yemen,15,48,2017,17011
Yemen,15,48,2018,16706
Yemen,15,48,2019,21946
Yemen,15,48,2020,23650
Zimbabwe,-20,30,2010,6826
Zimbabwe,-20,30,2011,6761
Zimbabwe,-20,30,2012,6500
Zimbabwe,-20,30,2013,6500
Zimbabwe,-20,30,2014,6701
Zimbabwe,-20,30,2015,6660
Zimbabwe,-20,30,2016,6788
Zimbabwe,-20,30,2017,6787
Zimbabwe,-20,30,2018,6727
Zimbabwe,-20,30,2019,6725
Zimbabwe,-20,30,2020,6724
